City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
89,mugia,43.1041,-9.2179,52.92,89,35,5.3,ES,1745380786
90,codrington,-38.2667,141.9667,71.06,55,75,10.65,AU,1745380787
91,hamilton,39.1834,-84.5333,59.43,70,0,0.0,US,1745380600
92,san antonio de pale,-1.4014,5.6325,82.27,79,94,10.27,GQ,1745380790
93,acapulco de juarez,16.8634,-99.8901,74.53,69,38,1.39,MX,1745380686
94,ust-nera,64.5667,143.2,35.82,80,95,4.92,RU,1745380792
95,sitka,57.0531,-135.33,41.9,95,100,3.65,US,1745380793
96,tralee,52.2704,-9.7026,49.21,97,91,7.29,IE,1745380794
97,great falls,47.5002,-111.3008,41.45,51,0,9.22,US,1745380795
98,casteljaloux,44.3176,0.0861,46.11,99,53,3.0,FR,1745380796
99,balcarce,-37.8462,-58.2552,57.81,95,98,3.0,AR,1745380797
100,haiku-pauwela,20.9219,-156.3051,78.82,74,75,9.22,US,1745380798
101,qaqortoq,60.7167,-46.0333,34.59,68,100,8.01,GL,1745380801
102,mulchen,-37.7167,-72.2333,57.92,98,100,3.85,CL,1745380802
103,stanley,54.868,-1.6985,37.51,94,34,3.44,GB,1745380804
104,korla,41.7597,86.1469,68.38,16,52,2.48,CN,1745380806
105,nhamunda,-2.1861,-56.7131,74.68,98,98,2.75,BR,1745380807
106,errachidia,31.9275,-4.4285,66.25,26,0,10.36,MA,1745380808
